Community,median_household,median_family,%earned,%self_empl,%investment,%soc_sec,%public_asst,%other,"percent_0-4,999","percent_5,000-9,999","percent_10,000-14,999","percent_15,000-19,999","percent_20,000-24,999","percent_25,000-34,999","percent_35,000-49,999","percent_50,000+",%fam_below_pov,%people_below_pov,%elderly_below_pov
North Oakland,"12,144.00","28,782.00",67,7,62,38,5,18,22,20,15,11,4,9,6,12,4,19,9
North Shore,"4,194.00","10,735.00",37,0,20,74,29,23,67,19,11,0,0,3,0,0,29,50,55
North Versailles,"19,306.00","21,952.00",80,6,50,28,8,33,9,13,12,18,16,21,8,3,4,7,7
Northview Heights,"4,842.00","6,178.00",43,1,5,35,59,17,53,25,10,2,5,3,2,0,60,62,49
Oakdale,"20,515.00","23,136.00",82,10,52,27,5,25,8,13,12,16,17,21,10,4,4,5,11
Oakmont,"18,859.00","23,315.00",77,9,58,33,5,27,8,16,16,13,11,15,12,8,5,6,10
Oakwood,"16,914.00","21,890.00",72,4,40,40,7,28,16,22,8,15,16,15,6,2,2,4,6
O'Hara Township,"28,290.00","30,495.00",88,15,67,23,2,27,4,7,8,12,11,20,20,18,1,2,6
Ohio Township,"22,730.00","24,868.00",87,16,59,23,3,29,4,9,16,13,12,25,15,5,2,3,9
Osborne,"25,060.00","24,583.00",88,22,70,27,3,30,0,6,18,21,5,26,13,11,0,0,0
Overbrook,"18,282.00","20,193.00",84,6,60,29,5,30,10,13,11,24,15,20,5,2,4,6,7
Pennsbury Village,"22,905.00","27,434.00",98,10,66,4,1,13,2,6,10,22,17,25,11,7,2,3,0
Perry North,"14,544.00","17,838.00",76,6,46,34,8,33,13,18,21,17,13,11,7,1,8,10,9
Perry South,"11,996.00","15,336.00",72,2,33,38,20,37,20,23,16,14,14,9,3,1,16,21,16
Pine Township,"24,197.00","25,655.00",89,17,60,22,2,23,4,10,9,12,18,19,14,14,3,3,10
Pitcairn,"14,282.00","17,767.00",72,5,48,34,12,30,13,17,23,16,14,12,3,2,7,9,8
Pittsburgh,"13,408.00","17,499.00",72,6,43,34,14,28,20,19,16,14,11,12,6,3,12,17,14
Pittsburgh SMSA,"18,069.00","21,376.00",75,7,50,31,8,30,12,15,14,14,14,17,9,4,6,9,10
